iter	Passed	Remaining
417	2771	10487
418	2777	10480
419	2783	10472
420	2789	10463
421	2795	10455
422	2801	10446
423	2808	10438
424	2814	10428
425	2820	10420
426	2826	10412
427	2832	10403
428	2838	10393
429	2844	10384
430	2849	10374
431	2856	10366
432	2867	10378
433	2873	10369
434	2879	10360
435	2885	10350
436	2891	10340
437	2896	10330
438	2902	10322
439	2908	10311
440	2913	10301
441	2919	10291
442	2926	10284
443	2932	10276
444	2938	10267
445	2944	10259
446	2950	10249
447	2956	10240
448	2962	10234
449	2968	10224
450	2974	10215
451	2980	10208
452	2986	10199
453	2992	10191
454	2998	10181
455	3004	10172
456	3010	10164
457	3016	10155
458	3022	10148
459	3028	10139
460	3034	10131
461	3041	10126
462	3047	10117
463	3054	10110
464	3060	10101
465	3065	10092
466	3071	10083
467	3078	10076
468	3084	10069
469	3090	10061
470	3097	10054
471	3102	10045
472	3108	10035
473	3114	10026
474	3121	10020
475	3127	10012
476	3134	10006
477	3141	10002
478	3149	9999
479	3155	9991
480	3161	9985
481	3168	9977
482	3173	9968
483	3180	9963
484	3187	9956
485	3193	9947
486	3201	9945
487	3207	9937
488	3214	9932
489	3222	9929
490	3229	9925
491	3236	9919
492	3242	9911
493	3249	9905
494	3255	9896
495	3261	9890
496	3268	9884
497	3275	9879
498	3282	9874
499	3288	9865
500	3294	9856
501	3301	9852
502	3307	9843
503	3313	9835
504	3331	9863
505	3340	9863
506	3347	9858
507	3354	9852
508	3362	9849
509	3369	9844
510	3376	9838
511	3382	9830
512	3389	9825
513	3396	9818
514	3402	9811
515	3408	9803
516	3415	9798
517	3422	9791
518	3430	9787
519	3438	9785
520	3445	9780
521	3451	9774
522	3458	9766
523	3477	9794
524	3523	9900
525	3535	9908
526	3548	9918
527	3561	9928
528	3572	9933
529	3581	9932
530	3587	9925
531	3596	9925
532	3604	9921
533	3613	9919
534	3619	9911
535	3626	9905
536	3636	9907
537	3645	9905
538	3661	9925
539	3676	9939
540	3686	9942
541	3694	9937
542	3700	9930
543	3708	9925
544	3717	9925
545	3725	9922
546	3743	9944
547	3763	9971
548	3773	9974
549	3780	9966
550	3793	9977
551	3802	9975
552	3809	9967
553	3815	9958
554	3821	9948
555	3827	9940
556	3833	9931
557	3840	9925
558	3847	9917
559	3853	9908
560	3859	9900
561	3866	9893
562	3873	9886
563	3879	9876
564	3885	9867
565	3891	9859
566	3898	9851
567	3904	9843
568	3911	9836
569	3917	9827
570	3924	9822
571	3931	9814
572	3936	9804
573	3943	9796
574	3949	9788
575	3956	9781
576	3963	9773
577	3970	9767
578	3977	9761
579	3983	9752
580	3990	9745
581	3997	9739
582	4003	9731
583	4010	9722
584	4015	9712
585	4021	9703
586	4028	9696
587	4034	9689
588	4043	9687
589	4050	9680
590	4056	9671
591	4062	9661
592	4068	9654
593	4075	9646
594	4080	9636
595	4087	9627
596	4093	9619
597	4099	9611
598	4105	9602
599	4112	9595
600	4118	9586
601	4124	9579
602	4131	9572
603	4137	9562
604	4142	9552
605	4148	9544
606	4155	9537
607	4162	9528
608	4168	9521
609	4174	9512
610	4181	9504
611	4187	9497
612	4193	9488
613	4199	9479
614	4204	9469
615	4210	9460
616	4216	9451
617	4222	9443
618	4229	9435
619	4235	9426
620	4241	9417
621	4247	9410
622	4253	9400
623	4259	9393
624	4271	9396
625	4278	9391
626	4285	9383
627	4292	9378
628	4300	9372
629	4307	9366
630	4314	9360
631	4323	9358
632	4333	9359
633	4342	9355
634	4351	9353
635	4358	9347
636	4365	9340
637	4370	9330
638	4376	9320
639	4381	9311
640	4388	9303
641	4394	9295
642	4400	9287
643	4407	9279
644	4413	9271
645	4419	9262
646	4425	9255
647	4432	9247
648	4438	9239
649	4445	9232
650	4451	9223
651	4457	9215
652	4463	9207
653	4469	9198
654	4476	9192
