iter	Passed	Remaining
401	15579	23174
402	15625	23146
403	15671	23119
404	15718	23092
405	15768	23069
406	15813	23040
407	15859	23011
408	15904	22981
409	15950	22952
410	15994	22921
411	16040	22893
412	16085	22863
413	16129	22830
414	16181	22809
415	16245	22806
416	16296	22783
417	16364	22785
418	16434	22788
419	16484	22764
420	16533	22737
421	16586	22718
422	16634	22690
423	16693	22678
424	16737	22644
425	16783	22613
426	16827	22581
427	16872	22549
428	16913	22511
429	16964	22487
430	17022	22472
431	17072	22447
432	17118	22416
433	17165	22386
434	17230	22379
435	17295	22373
436	17362	22368
437	17413	22343
438	17457	22309
439	17498	22271
440	17539	22233
441	17583	22198
442	17631	22168
443	17677	22137
444	17729	22111
445	17770	22074
446	17819	22044
447	17863	22010
448	17906	21974
449	17949	21938
450	17992	21901
451	18036	21867
452	18076	21826
453	18127	21801
454	18172	21767
455	18216	21732
456	18261	21698
457	18303	21660
458	18346	21623
459	18399	21599
460	18457	21580
461	18502	21546
462	18552	21517
463	18599	21485
464	18645	21451
465	18688	21415
466	18731	21379
467	18772	21339
468	18820	21308
469	18864	21273
470	18911	21240
471	18952	21201
472	18997	21166
473	19041	21130
474	19085	21094
475	19139	21069
476	19188	21038
477	19229	20999
478	19274	20964
479	19324	20934
480	19386	20917
481	19453	20906
482	19514	20888
483	19558	20852
484	19601	20814
485	19646	20778
486	19694	20745
487	19744	20715
488	19792	20682
489	19842	20652
490	19894	20623
491	19953	20602
492	19998	20566
493	20048	20535
494	20091	20497
495	20142	20466
496	20188	20431
497	20236	20399
498	20281	20362
499	20325	20325
500	20376	20295
501	20425	20262
502	20472	20228
503	20518	20193
504	20568	20160
505	20609	20120
506	20653	20082
507	20700	20048
508	20748	20014
509	20800	19984
510	20853	19956
511	20917	19937
512	20971	19908
513	21024	19879
514	21081	19853
515	21140	19829
516	21197	19803
517	21253	19776
518	21300	19741
519	21360	19716
520	21411	19685
521	21460	19651
522	21507	19615
523	21562	19587
524	21614	19555
525	21662	19520
526	21720	19495
527	21770	19461
528	21847	19452
529	21903	19423
530	21950	19387
531	22000	19354
532	22048	19318
533	22098	19284
534	22167	19267
535	22209	19226
536	22259	19192
537	22310	19158
538	22358	19123
539	22410	19090
540	22458	19054
541	22510	19021
542	22558	18985
543	22604	18947
544	22652	18911
545	22702	18877
